comments,cleaned_comments
Punah hewan2 nya,punah hewan
"tambang emas di papua salah satu terbesar didunia aja gk ada tuh meningkatkan kesejahteraan papua, alasan aja buat majuin papua nyatanya buat majuin perut2 pejabat rakus",tambang emas papua salah besar dunia tingkat sejahtera papua alas majuin papua majuin perut jabat rakus
"Presiden Anehh, orang tua dan anak kecil jadi pemimpin yaa begini negara...
 Makanyaa kalo milih tuh pake otak, jangan asal2",presiden anehh orang tua anak pimpin yaa negara makanyaa milih pake otak
"Sumatra sawit Kalimantan sawit ,Sulawesi Nikel ,Papua sawit lagi 😂😂😂,, pengen Ngebunuh Rakyat perlahan2 kah ?",sumatra sawit kalimantan sawit sulawesi nikel papua sawit ken ngebunuh rakyat perlahan kah
Hadehh punya presiden gini amat bngst,hadehh presiden gin bngst
Definisi Dikasih cobaan malah dicobain 🗿🗿,definisi kasih coba dicobain
"BANGSA JIN SAJA BISA MENJAGA KESEIMBANGAN ALAM SEDANGKAN MANUSIA SERAKAH RAKUS BISANYA HANYA MERUSAK ALAM TANPA MEMIKIRKAN AKIBATNYA PADAHAL BENCANA ALAM BUKTI NYATA UNTUK MENGIGATKAN, MENYADARKAN PENGUASA YANG MERUSAK BANGSA SENDIRI DEMI AMBISI SUNGGUH MIRIS SEKALI",bangsa jin jaga imbang alam manusia serakah rakus bisa rusak alam pikir akibat bencana alam bukti nyata mengigatkan sadar kuasa rusak bangsa ambisi sungguh miris
"Mestinya dilihat dulu, kawasan sumatra yg padat sawit apakah banyak rakyatnya yg makmur? Dah pake itu aja dulu, karena dia kan bilang supaya papua bs ""berdiri di kaki sendiri"".",mesti kawasan sumatra padat sawit rakyat makmur pake bilang papua diri kaki
yang ada binatang langka di sana bakalan ikut punah,binatang langka punah
Presiden t0l0ll otak nya bisa mikir strategi doang di jadiin presiden,presiden tlll otak mikir strategi doang jadiin presiden
Atlantis part 2 skala negara bukan kota lg 😂,atlantis part skala negara kota
Gue ketawa pas lihat ekspresi pak gibran,gue ketawa pas lihat ekspresi gibran
Lulusan jendral bukan lulusan sekolah SD SMP sma,lulus jendral lulus sekolah smp sma
kan sawit juga pohon,sawit pohon
Yang milih siapa ya,milih
"Garasberg alias freeport adalah tambang emas terbesar di dunia... Inget ya ""terbesar""... Dan ga bsa bikin makmur pulau kaya papua...? 😏 Ini lagi sawit... Tau kan yg bakal makmur siapa...",garasberg alias freeport tambang emas besar dunia inget besar bsa makmur pulau kaya papua sawit tau makmur
"Presidennya aja yg ditanam di papua aja gimana, sumatra dah korban 1000 lebih gitu ga belajar juga.",presiden tanam papua gimana sumatra korban ajar
"Kenapa ga di stop ajh eksploitasi tambang emas di papua, malah mau ngegundulin papua..",stop ajh eksploitasi tambang emas papua ngegundulin papua
rocky gerung memperkirakan Indonesia hancur dan siap2 ada hal yg mengerikan di bulan februari 2026 nanti akibat ulahnya prabowo,rocky gerung indonesia hancur keri februari akibat ulah prabowo
"Gak puas ngancurin satu pulau, pindah lagi ke pulau yg lain👎🏻",puas ngancurin pulau pindah pulau
Demi Tuhan Lu Jahat Paaaakkk,tuhan jahat paaaakkk
emang bbm dari sawit udh banyak di indonesia ya?,bbm sawit indonesia
Jahat banget anjjjjjjjj,jahat anjjjjjjjj
"Biarin aja prabowo langsung kesana, biar langsung di dor sama OPM, bair balik tinggal nama aja",biarin prabowo langsung kesana biar langsung dor opm bair tinggal nama
Akar sawit dan akar pohon beda,akar sawit akar pohon beda
"2026 bubar ya, siap2 cari negara 😢",bubar cari negara
"Bang, gw curiga.
Siapa yg bermain dibelakang presiden? Ada aktor tersembunyi kah? Atau presiden kita dibutakan dengan laporan-laporan palsu dari bawahannya??

Masa iya sih, seorang presiden ngeluarin statement ngga ngotak kayak gini???

Kenapa buru-buru bgt mau ngejar sawit?? Target apa yg dikejar?? Demand siapa yg sedang ia turuti??",curiga main belakang presiden aktor sembunyi kah presiden buta laporanlaporan palsu bawah iya presiden ngeluarin statement ngotak gin buruburu ngejar sawit target kejar demand turut
Bodoh paling sempurna adalah pembela/pendukung rezim sekarang / sebelumnya,bodoh sempurna pembelapendukung rezim
mangtab sekali calon boss semur hidup ini,mangtab calon boss semur hidup
berdosa lu pada yang milih kemarin,dosa milih kemarin
"Gak puas kah bikin aceh banjir, mau juga bikin kita di timur gitu?",puas kah aceh banjir timur
"Potensi sawit untuk komersil sangat tinggi, coba cari solusi yang bisa menanggulangi dampak banjirny tanpa perlu mengesampingkan nilai sawitnya.",potensi sawit komersil coba cari solusi tanggulang dampak banjirny samping nilai sawit
Hahaha dia mau ngurangi populasi manusia di Papua itu bang...kok yg kena tuh Aceh...Kalimantan ...Papua ...aja yah dendam amat pemerintah sama mereka ya om.,hahaha ngurangi populasi manusia papua bangkok kena acehkalimantan papua dendam perintah
pembangunan apa jalan noh di kota aku kalimantan bnyak sawit nya doang jalan ancur,bangun jalan noh kota kalimantan bnyak sawit doang jalan ancur
Prabowo itu cuman mentingin kantongnya dan para pengikut nya GK akan membangun Papua,prabowo cuman mentingin kantong ikut bangun papua
Demo dong.. Ini g logisss,demo logisss
"hello sodara2 di papua, waktunya ketar ketir..",hello sodara papua ketar tir
"Bang jujur makin kesini makin kacau di pegang beliau, bukannya sawit itu lemah dan ga ada gunanya buat peresapan dan nahan banjir. Dan satu hal lagi Itu ETANOL kenapa masih ada dah bukannya merusak mesin kendaraan yaa kok malah mau diproduksi hadeh hadeh",jujur kesini kacau pegang beliau sawit lemah guna resap nahan banjir etanol rusak mesin kendara yaa produksi hadeh hadeh
"🔥AYO TERUS BERSUARA JANGAN PERNAH BERHENTI SAMA-SAMA BANGSA ACEH SUMATERA MENGGUGAT MOU HELSINKI KETINGKAT INTERNASIONAL🔥
yang dimaksud adalah Memorandum Of Understanding(MOU), perjanjian damai antara Pemerintah Republik Indonesia dan Gerakan Aceh Merdeka(GAM), ditandatangani 15 Agustus 2005 di Helsinki, Finlandia.
MOU ini hasil dari perundingan damai difasilitasi Martti Ahtisaari, mantan Presiden Finlandia dan mediator PBB.
🫵TENTANG HUBUNGAN LUAR NEGERA, MOU Helsinki menyebutkan:
1.Bangsa Aceh Sumatra memiliki hak untuk menggunakan simbol-simbol negara, termasuk bendera, lambang, dan himne.
2.Bangsa Aceh Sumatra dapat menjalin hubungan dengan luar negera, baik dengan negara-negara lain maupun dengan organisasi internasional, dalam bidang ekonomi, sosial, dan budaya.
3.Pemerintah Indonesia akan memfasilitasi dan membantu Bangsa Aceh Sumatra dalam menjalin hubungan luar negera.
4.Bangsa Aceh Sumatra dapat menerima bantuan luar negera secara langsung, baik dari negara-negara lain maupun dari organisasi internasional.
🫵JIKA BUTIR-BUTIR ITU DILANGGAR MAKA BANGSA ACEH SUMATERA BERHAK MERDEKA DAN MENUNTUT DI MAHKAMAH INTERNASIONAL🫵",ayo suara henti samasama bangsa aceh sumatera gugat mou helsinki tingkat internasional memorandum understandingmou janji damai perintah republik indonesia gera aceh merdekagam ditandatangani agustus helsinki finlandia mou hasil runding damai fasilitas martti ahtisaari mantan presiden finlandia mediator pbb hubung negera mou helsinki bangsa aceh sumatra milik hak simbolsimbol negara bendera lambang himne bangsa aceh sumatra jalin hubung negera negaranegara organisasi internasional bidang ekonomi sosial budaya perintah indonesia fasilitas bantu bangsa aceh sumatra jalin hubung negera bangsa aceh sumatra terima bantu negera langsung negaranegara organisasi internasional butirbutir langgar bangsa aceh sumatera hak merdeka tuntut mahkamah internasional
Selama ini papua sudah di keruk kekayaan buminya tapi papua masih kayak gitu aja sekarang mau di tanemin sawit dengan alasan kayak gitu,papua keruk kaya bumi papua tanemin sawit alas
"Ga usah pak. Asli bencana yg ada pindah dari Sumatera ke Papua.
Es di puncak Cartenz udah makin menipis, ada juga gimana caranya warga di Papua diberdayakan, di edukasi gimana memanfaatkan kekayaan alamnya. Bukan di rusak alamnya😢",bencana pindah sumatera papua puncak cartenz tip gimana warga papua daya edukasi gimana manfaat kaya alam rusak alam
"Tidak cukup Sumatra dirusaknya, papua juga mau dirujak lagi?!. RIP Indonesia",sumatra rusak papua rujak rip indonesia
Wkwk takut Indonesia kiamat duluan ga sesuai jadwal kalo Papua di tanam sawit,takut indonesia kiamat duluan sesuai jadwal papua tanam sawit
"Ni w0 w 0 bahaya sih, idenya ngaco",bahaya ide ngaco
"Pemerintah : ""kalo rame part 2""",perintah rame part
"Udah bang udah,ampun gua ama pemerintah",udahampun gua ama perintah
Emang presiden gak bisa bikin duit selain yg bikin bencana alam apa?,presiden duit bencana alam
Ternyata jinx 2030 indo bubar penyebabnya dirinya sendiri,jinx indo bubar sebab
"orang gilak...
udh tau sawit tidak bisa nahan air masih mau ditanam jugak..
 beliau mau menenggelamkan indonesia ini dari sabang sampe merauke",orang gilak tau sawit nahan air tanam jugak beliau tenggelam indonesia sabang sampe merauke
Aha salah pilih pemimpin lagi ini....,aha salah pilih pimpin
"Mau ekonomi naik ?
Sederhana aja, segera sah kan UU Perampasan Aset +  perkuat KPK + ganti semua polisi.

Klo hukum kuat, tegas, tanpa pandang bulu, korupsi bisa turun drastis, dan yg laen2 lebih gampang diurus.
Investasi bisa datang dan tumbuh sendiri ke papua.

Gak perlu sok ngide yg aneh2 yg bikin alam jadi rusak.",ekonomi sederhana sah ampas aset kuat kpk ganti polisi klo hukum kuat pandang bulu korupsi turun drastis laen gampang urus investasi tumbuh papua sok ngide aneh alam rusak
"Dunia perhutani jadi banjir, dunia otomotif juga jadi banjir tapi versi budgeting, keos"" dah ngerawat bensin sensitif air beberapa tahun kedepan, kerembes dikit kelar itu tangki",dunia hutan banjir dunia otomotif banjir versi budgeting keos ngerawat bensin sensitif air depan rembes dikit kelar tangki
Lansiia memang beda dan wakil nya yg sd gag lulus,lansiia beda wakil gag lulus
Anjirrr banget gimana sih tu presiden bukan nya belajar dari Sumatera lol banget,anjirrr gimana presiden ajar sumatera lol
"Tambang emas aja udah cukup itu buat bikin papua berkembang pesat, cuma ya... Asalkan orang2 jujur dan benar2 punya otak maju aja yg mengelolanya",tambang emas papua kembang pesat orang jujur otak maju kelola
"Kalimat pembenarannya supaya papua bisa berdiri di kaki sendiri.. 😂😂, di tanamin trus di kasih gartis 10Hektar/KK utk rakyat papau mungkin masih masuk logika lh.. lah ini kan yg punya sawit org luar.. perusahaan2 yg dmiliki org luar..😅😅 org asli sana cuma jd penonton.. paling cuma bbrapa org yg di terima kerja supaya ada alasan ""menciptakan lapangan kerja""..😅😅",kalimat benar papua diri kaki tanamin trus kasih gartis hektarkk utk rakyat papau masuk logika sawit org usaha dmiliki org org tonton bbrapa org terima kerja alas cipta lapang kerja
"Sepertinya beliau tidak pernah belajar dari kesalahan 
Buktinya masih ada part 2
Negara sawit is reall🗿",beliau ajar salah bukti part negara sawit reall
daripada nambah sawit mending nambah dulu itu bij-,nambah sawit mending nambah bij
"Bisa berdiri dikaki sendiri?
Nampaknya lebih ke ""mending lu pisah aja dah"" atau ""lu beban negara""",diri kaki nampaknya mending pisah beban negara
"Jujur ya pen doain ni negara ditelan banjir aja langsung,biar mampus tu sekalian,tpi bingung juga,kita yg rakyat biasa bakal kemana?😂",jujur pen doain negara tel banjir langsungbiar mampus sekaliantpi bingung jugakita rakyat mana
Kami MUAK!!,muak
plisss jangan papua hutan nya sangat indah,plisss papua hutan indah
Papua punya emas ngapain lagi berharap dari sawit,papua emas ngapain harap sawit
Banyak sawit ko minyak makin mahal 😭 minyak kita aja di sini udah harga 18k sampai 19k per liter padahal baru bln kemaren harga 17k,sawit minyak mahal minyak harga liter bln kemaren harga
"Udah monopoli minyak lewat pertamina, tpi pertamina Masih jadi bumn yg sering rugi di negara, sekarang maksa ngerusak alam buat ngejaga kantong pribadi (perusahaan sawit pribadi lu bubarin kalo berani)

Jangan heran kalo sampe Papua nanti beneran merdeka, Dari jaman jokowi udah ada niatan mereka, bukan masalah persatuan kesatuan lagi, kalo presidennya cuma mentingin perut sendiri ngapain rakyat harus ngurusin beliau, yg untung kalo Papua merdeka pasti negara luar (kaya Amerika) tpi kalo kasusnya begini terus mending negara luar juga yg untung daripada dijajah pemerintah begini (paling juga yg ngomel cuma orang jawa yg selalu dimanja pusat)",monopoli minyak pertamina tpi pertamina bumn rugi negara maksa ngerusak alam ngejaga kantong pribadi usaha sawit pribadi bubarin berani heran sampe papua beneran merdeka jaman jokowi niat satu satu presiden mentingin perut ngapain rakyat ngurusin beliau untung papua merdeka negara kaya amerika tpi kasus mending negara untung jajah perintah ngomel orang jawa manja pusat
Ngakak gua dia mau tanam pohon sawit soalnya itu bukan cara pohon sawit lindungi kita dari banjir cuba lihat di video tadi kok pohon sawit gak nyerap air banjir nya jadi kesimpulannya di sini tanam pohon sawit adalah ideanya yang konyol soalnya kalau ditanam pohon sawit bukannya dapat hasil but dapat bencana tapi jika kita tanam pohon -pohon yang betul pasti iya dapat menyerap air banjir dan memberikan hasil kepada haiwan haiwan hutan contohnya pohon-pohon buah dan  pohon-pohon yang boleh menyerap air banjir dan memberikan karbohidrat untuk kita bernafas jadi gini jika Haiwan haiwan mendapatkan hasilnya memakan buah buahan dari pohon-pohon buah seperti rantaian alam semulajadi jadi kita pun mendapatkan hasilnya apa dia pohon-pohon yang memberikan kita karbohidrat untuk bernafas dan juga manfaat seperti kita melakukan penyelidikan terhadap pohon-pohon dan juga anah benih pohon-pohon jika suatu hari nanti diterbang pohon-pohon  kita bisa ambil benih terhadap pokok - pohon yang  udah kita kaji dan juga bernih yang kita ambil dari pohon kita yang sudah diterbang oleh manusia dan kita tanam lagi  pohon-pohon untuk dijadikan hutan hutan supaya haiwan haiwan mendapatkan tempat tinggal dan juga hutan hutan kembali ke asalnya semula dari diterbang ke tempat asalnya ditanam kembali 😊,ngakak gua tanam pohon sawit pohon sawit lindung banjir cuba lihat video pohon sawit nyerap air banjir simpul tanam pohon sawit ideanya konyol tanam pohon sawit hasil bencana tanam pohon pohon iya serap air banjir hasil haiwan haiwan hutan contoh pohonpohon buah pohonpohon serap air banjir karbohidrat nafas gin haiwan haiwan hasil makan buah buah pohonpohon buah rantai alam semulajadi hasil pohonpohon karbohidrat nafas manfaat lidi pohonpohon anah benih pohonpohon terbang pohonpohon ambil benih pokok pohon kaji nih ambil pohon terbang manusia tanam pohonpohon jadi hutan hutan haiwan haiwan tinggal hutan hutan asal terbang asal tanam
Biang nya emang PRABOWO,biang prabowo
"Pemimpin nanem sawit:
Demi hasilkan BBM ❌
Untuk depopulasi ✅",pimpin nanem sawit hasil bbm depopulasi
"Si wowo ga belajar dari sumatra, demi ambisi buat produksi etanol ngorbain hutan indonesia",wowo ajar sumatra ambisi produksi etanol ngorbain hutan indonesia
mempercepat ekonomi papua❌ mempercepat mafia di Indonesia tambah kaya raya✅🤪,cepat ekonomi papua cepat mafia indonesia kaya raya
"Ternyata bro ini kecepatan berfikir nya ↑↓E
Berarti tetap dengan pendirian nya yang penting ada daun nya",cepat berfikir diri daun
"Siap siap papua bernasib sama kayak sumatra, udah tempatnya di infasi penduduk jawa eh hutannya mau di tanam sawit pemerintah. Penduduk lokal cuma liat kehancuran hutan papua",papua nasib sumatra tempat infasi duduk jawa hutan tanam sawit perintah duduk lokal liat hancur hutan papua
Pindah lahan nih ceritanya wok?,pindah lahan cerita wok
"Anomali 🤓:kan sawit sama sama pohon🤓, ada batang, daun akar ranting🤓

EL Etanol bin goblin🤓:listrik di Aceh 100% nyala pak


EL rompi bin tunjuk:"" *nunjuk* ""


EL bakul bin karung:"" *angkat beras* ""



EL fufufafa bin kerja:insyaallah terbukalah 19 juta lowongan kerja



EL obesitas bin Wowo:HIDOEP JHOKOWI🤓



EL Sunda bin goblok:semua orang Sunda anjing🤓



EL Agus bin es teh:es teh mu sek AKEH Ra?🤓
Penjual:masih
El Agus bin es teh:Yo Kono di dol goblok hahahhaha🤓",anomali sawit pohon batang daun akar ranting etanol bin goblinlistrik aceh nyala rompi bin nunjuk bakul bin karung angkat beras fufufafa bin kerjainsyaallah buka juta lowong kerja obesitas bin wowohidoep jhokowi sunda bin gobloksemua orang sunda anjing agus bin tehes teh sek akeh penjualmasih agus bin tehyo kono dol goblok hahahhaha
Sengaja membikin musibah lagi wak,sengaja bikin musibah wak
"Dasar presid3n gila tidak punya hati nurani, bener bener muakkk dengan semua gebrakan dan omong kosongnya!!🫵🏻😭😭",dasar presidn gila hati nurani bener bener muakkk gebrak omong kosong
Paling bentar lagi dia main pahlawan pahlawanan,bentar main pahlawan pahlawan
Kacau wok,kacau wok
Hadehh giliran hutan Papua yang mau di gundulin 😂,hadehh gilir hutan papua gundulin
Lama kelamaan klo di tanem sawit semua tenggelam Indonesia,klo tanem sawit tenggelam indonesia
"Secara umum, kelapa sawit tidak mampu menahan banjir seefektif hutan alami karena perbedaan struktur biologis dan ekologisnya. 

Beberapa alasan mengapa sawit kurang efektif dalam mencegah banjir:

Sistem Akar Serabut: Berbeda dengan pohon hutan yang memiliki akar tunggang dalam untuk menyerap air ke lapisan tanah dalam, sawit memiliki akar serabut yang dangkal dan menyebar secara horizontal. Hal ini membuat kapasitas penyerapan air masif terbatas.

Kurangnya Efek ""Spons"": Hutan alami berfungsi seperti spons yang menyerap hingga 80% air hujan. Sebaliknya, perkebunan sawit sering kali memiliki tanah yang padat dan sistem drainase buatan yang justru mempercepat aliran air ke sungai, sehingga memicu luapan air (banjir) di daerah hilir.

Struktur Kanopi Tunggal: Kanopi sawit yang seragam tidak sepadat hutan hujan tropis yang berlapis-lapis. Akibatnya, air hujan jatuh langsung menghantam tanah dengan energi lebih besar, meningkatkan risiko erosi dan sedimentasi di sungai yang memicu banjir. 

Meskipun demikian, pohon sawit sendiri memiliki tingkat toleransi terhadap genangan air sementara, namun kondisi terendam dalam waktu lama tetap dapat merusak tanaman tersebut. Untuk mengurangi risiko banjir di area perkebunan, praktik berkelanjutan seperti pembuatan terasering, penanaman tanaman penutup tanah (cover crops), dan menjaga zona penyangga sungai sangat diperlukan. 


Kita tanpa hutan Kita TAK ADA !!!!",kelapa sawit tahan banjir efektif hutan alami beda struktur biologis ekologis alas sawit efektif cegah banjir sistem akar serabut beda pohon hutan milik akar tunggang serap air lapis tanah sawit milik akar serabut dangkal sebar horizontal kapasitas serap air masif batas efek spons hutan alami fungsi spons serap air hujan kebun sawit milik tanah padat sistem drainase buat cepat alir air sungai picu luap air banjir daerah hilir struktur kanopi tunggal kanopi sawit seragam padat hutan hujan tropis berlapislapis akibat air hujan jatuh langsung hantam tanah energi tingkat risiko erosi sedimentasi sungai picu banjir pohon sawit milik tingkat toleransi genang air kondisi rendam rusak tanam kurang risiko banjir area kebun praktik lanjut buat terasering tanam tanam tutup tanah cover crops jaga zona sangga sungai hutan
Rep0blik ini sudah di kuasai asing!!,repblik kuasa asing
"Pantesan Bahlil nggak di kick, ternyata emang satu tim mereka... Dahlah 🗿😮‍💨",pantesan bahlil nggak kick tim dah
"Wlah, boomer jadi presiden, gak heran sih, hukum odni kan nguawur ditambah dpkeparat",wlah boomer presiden heran hukum odni nguawur tambah dpkeparat
dahlah,dah
"Masih kurang aja minga goreng tuh sama yang paling etanol, padahal negara super power masih berebut cadangan minyak bumi, karena minyak bumi ga akan pernah tergantikan.",minga goreng etanol negara super power rebut cadang minyak bumi minyak bumi ganti
dongo banget ni president,dongo president
Nyesel coblos nomor 2🤬,nyesel coblos nomor
Padahal ada tambang ama pariwisata tapi bro malah memilih sawit 😂,tambang ama pariwisata pilih sawit
"Habis membangun suasembada langsung bencana 😭
Gimana logika ny cuk😢",habis bangun suasembada langsung bencana gimana logika cuk
"""ORANG GOBLOK PUNYA JABATAN & KUASA, HASILNYA PASTI TOLOL""...... Indonesia cemas😂😂",orang goblok jabat kuasa hasil tolol indonesia cemas
"Keduk terus nie negeri....!! Mantap.... 
Hdeeeee.... Hello kitty!!!!!",keduk nie negeri mantap hdeeeee hello kitty
Hanya purbaya menteri yang baik Prabowo banyak banget idenya,purbaya menteri prabowo ide
"Tau gak akan dapat 2 periode, beliau berusaha merusak Indonesia sesegera mungkin😂",tau periode beliau usaha rusak indonesia
"Papua tmptnya emas . gak perlu sawit. eehhh 
emasnya kemana😢",papua tmptnya emas sawit eehhh emas mana
"Denger kata etanol langsung jleb, wahh pasti ni diiming imingi sama bahliltanol",denger etanol langsung jleb wahh diiming imingi bahliltanol
Pindah tempat😂,pindah
"Ingat ada 9Naga
9Naga sudah kuasai Indonesia 
9Naga juga sudah menguasai media
Presiden DPR dan pejabat lainnya tu hanya publik figur aja, yang menguasai itu 9Naga",naga naga kuasa indonesia naga kuasa media presiden dpr jabat publik figur kuasa naga
Kata prabowo emang bener indonesia bubar 2030 dia bener2 semangat merusak negara 😂,prabowo bener indonesia bubar bener semangat rusak negara
"Kagak mikir ya, sumatera aja jadi begitu, ini papua lagi, hadeuh",kagak mikir sumatera papua hadeuh
Banjir part 2 otw,banjir part otw
"Tenang, target nya kan ""Indonesia Bubar / Tenggelam  2030"". Sepertinya mulai terlaksana. Sumatera udah, nyusul Kalimantan dan Papua",tenang target indonesia bubar tenggelam laksana sumatera nyusul kalimantan papua
"Pasti ada tanah/lahan yg cocok untuk ditanami kelapa sawit disana, banyak orang² dari lulusan geologi yg hrs di turunkan kesana untuk menimbang kecocokan lahan danatau tanpa menggunduli hutan² yg ada di papua.",tanahlahan cocok tanam kelapa sawit sana orang lulus geologi hrs turun kesana timbang cocok lahan danatau gundul hutan papua
Ampun 😂,ampun
Wowo Duta Sawit 2025,wowo duta sawit
kantor pemerintah suruh di nuklir aja sama rusia😂,kantor perintah suruh nuklir rusia
Ngotot puluhan tahun pengen jadi presiden .sekali nya jadi ampun dah wo,ngotot puluh ken presiden ampun
"Semua atas nama pembangunan. Padahal pribumi asli Papua sudah hidup ratusan tahun dengan damai tanpa semua pembangunan yang dicanangkan. Sesungguhnya ini adalah ""maldevelopment""",nama bangun pribumi papua hidup ratus damai bangun canang sungguh maldevelopment
penilaian Pak Anies keknya pas ya,nilai anies kek pas
Presiden PEKOKK,presiden pekokk
"Bukannya benahin pertamina malah cari masalah baru, manusia kek gini haram buat hidup",benahin pertamina cari manusia gin haram hidup
Pemimpin mana lagi yg bisa dipercaya. Begitu lah pemimpin2 yg hanya cuman ngomong2 doang. Percaya sama semua bawahannya. Langsung telan bulat2 tanpa menelaah. Pak prabowo yg terhormat tolong kalau mau buat kebijakan dipikir2 dulu lah. Kan terlalu kasar kalau dibilang baca buku ipa kelas sd apa itu fungsi hutan. Banyak2 buka google pak😢,pimpin percaya pimpin cuman ngomong doang percaya bawah langsung telan bulat telaah prabowo hormat tolong bijak pikir kasar bilang baca buku ipa kelas fungsi hutan buka google
Makan tuh gemoy . Suruh siapa pilih dia wkwk,makan gemoy suruh pilih
"Papua luas bngt dan hutanya luas juga,
Apa salahnya sebagian di tanam sawit.
Papua juga pengin makmur juga.
Klo soal banjir bisa di antisipasi asal penanaman sawit nya di titik2 tertentu .",papua luas bngt hutanya luas salah tanam sawit papua pengin makmur klo banjir antisipasi tanam sawit titik
Karena presidennya terlibat sebagai pengusaha sawit.. Banyakin tanam sawit tapi harga minyak goreng gak juga turun😂,presiden libat usaha sawit banyakin tanam sawit harga minyak goreng turun
MANA TOBAT MU ITU WOK???,tobat wok
Bahlil: ETANOLLL😝😝😝😝,bahlil etanolll
"Jadi inget kata² ""BOBON SANTOSO"", tenang papua. 
"" Berdiri di atas emas, berjalan tanpa alas ""
Papua tetap tidak akan swasembada, jika pemerintah nya tetap korup,,, 
Malah makin rusak hutannya,,,",inget bobon santoso tenang papua diri emas jalan alas papua swasembada perintah korup rusak hutan
"Diakan menang disana, jadi harus terima. Masa dipilih tp nolak idenya?
Masa iya segwoblok itu 58% org smpe milih org yg gak kompeten",dia menang sana terima pilih nolak ide iya segwoblok org smpe milih org kompeten
"aku paham maksudnya ini. sepertinya emang mau sedikitkan warga lokal supaya china masuk. 
konspirasi aja ya",paham maksud sedikit warga lokal china masuk konspirasi
"KOK GA KAPOK YA, IYA BENERAN INI PRESIDEN KITA GA MIKIR SEHABIS DIA TURUN YG KENA DAMPAKNYA SIAPA??",kapok iya beneran presiden mikir habis turun kena dampak
Alesan tanam sawit... Padahal pengen panen pohon hutan... Gratissss... Cuannnn,alesan tanam sawit ken panen pohon hutan gratissss cuannnn
Kacau ini presiden 😂,kacau presiden
Belum jadi presiden memang enak bicara nya..bila sudah jadi baru tahu bagaimana rasanya terikat dengan benar² presiden dunia..malang sekali..,presiden enak bicara nyabila ikat presiden duniamalang
W positif thinkingnya husnuzonnya : hm pasti pak presiden ini berbicara demikian banyak pertimbangan &perencanaan matang dari pemerintah hm,positif thinkingnya husnuzonnya presiden bicara timbang rencana matang perintah
"Dia memang gagal jadi presiden 2x, tapi dia gak gagal ngancurin negri ini😊.
Semoga gak pernah ngerasain surga ya kamu woo.",gagal presiden gagal ngancurin negri moga ngerasain surga woo
Yang ada bikin kenyang pejabat setempat iyaa pa saya sangat setuju papua di tanemi sawit biar penderitaan mereka kelar ga berlangsung lama karena setelah tanem sawit kalo hujan gede banjir nah kaya di sumatra papua rata ma tanah beres kata presiden gituhhh si yg aku tau,kenyang jabat iyaa tuju papua tanemi sawit biar derita kelar tanem sawit hujan gede banjir kaya sumatra papua tanah beres presiden gituhhh tau
PRESIDEN SAWIT GUEHHH!!!,presiden sawit guehhh
"Pradungu Subianto bukan presiden RI, beliaubcuma babu Jokowi",pradungu subianto presiden beliaubcuma babu jokowi
"Kata2 andalan nya mana bang? 
""Ga mungkin lah, ga mungkin""

takut sugan? 
Wkwkwkkkwkwk",andal takut sugan wkwkwkkkwkwk
Presiden stress,presiden stress
Saya nunggu lubang hidung di zoom,nunggu lubang hidung zoom
"Jika tanam sawit tidak terkawal .baru 1 masalah berefek besar-air Di pergunungan tidak bersih 
Banyak baja/bahan kimia 
Jika tanam pokok -air Di pergunungan bersih semula jadi..Salam Dari Malaysia",tanam sawit kawal efek besarair gunung bersih bajabahan kimia tanam pokok air gunung bersih jadisalam malaysia
Presiden ingin juga mengubur rakyat yg ada di Papua juga seperti di Sumatera Utara dan Sumatera Barat.,presiden kubur rakyat papua sumatera utara sumatera barat
"Satu kata untuk beliau ""anj""",beliau anj
Enak kan pilih dia makanya pilih Ganjar aja,enak pilih pilih ganjar
"Presiden kita ???? 
Sory yeeee",presiden sory yeeee
"sawit jadi kambing hitam
masa pertambangan ga di bahas dan  tambang kayu juga",sawit kambing hitam tambang bahas tambang kayu
"Potensi setiap daerah beda-beda. Jangan maksain sesuatu, sudah ditegur sama Alam Sumatera, eh ga kapok-kapok. BBM kan bisa dari Bobibos, ngapain pake nanem sawit segala? 
Eh, apa perlu dihitungin hutang Carbon Credit yang harus dibayar sama pertamina?",potensi daerah bedabeda maksain tegur alam sumatera kapokkapok bbm bobibos ngapain pake nanem sawit dihitungin hutang carbon credit bayar pertamina
Modyarrrr,modyarrrr
PADAHAL PAPUA PUNYA TAMBANG EMAS TERBESAR DIDUNIA,papua tambang emas besar dunia
"Urus dampak sawit di Sumatera dulu pakk, malah mau bikin sawit lagii",urus dampak sawit sumatera pakk sawit lagi
Aduh pak jangan oke gas oke gas mulu dong pak kalo disuruh bawahan..aelah begini bgt dah ah😢,aduh oke gas oke gas mulu suruh bawahanaelah
"Wowo kenapa si ngidam banget sama sawit wkwk padahal perasin tikus tikus bawahannya sendiri lebih menguntungkan. Tinggal tunjuk bawahan terus sita asetnya. Harus ada bukti? Bikin aja bukti palsu pasti didukung rakyat, siapa tau nanti bukti palsu ternyata yg ditunjuk tikus beneran. Takut dosa? Di pemerintahan bukannya tuhannya uang? Hukum aja bisa dibeli takut sama tuhan yang mana?",wowo ngidam sawit asin tikus tikus bawah untung tinggal bawah sita aset bukti bukti palsu dukung rakyat tau bukti palsu tikus beneran takut dosa perintah tuhan uang hukum beli takut tuhan
